Risk_Item_ID,Year,Loss_Cost
23,2011,23.739999999999998
23,2012,1.3799999999999999
23,2013,4.0000000000000001E-2
23,2005,1.26
23,2006,0.19
23,2007,0
23,2008,2.9999999999999999E-2
23,2009,3.7999999999999998
23,2010,5.4800000000000004
23,1999,3.4199999999999999
23,2000,5.5
23,2001,0.71999999999999997
23,2002,3.5099999999999998
23,2003,1.5899999999999999
23,2004,1.6499999999999999
23,1993,8.0000000000000002E-2
23,1994,5.5499999999999998
23,1995,1.8799999999999999
23,1996,0.46000000000000002
23,1997,13.65
23,1998,0
23,1987,0.31
23,1988,1.49
23,1989,3.8599999999999999
23,1990,0.68000000000000005
23,1991,3.9300000000000002
23,1992,1.3799999999999999
23,1981,9.8900000000000006
23,1982,0.56000000000000005
23,1983,0.37
23,1984,5.1399999999999997
23,1985,5.5600000000000005
